GeneID	EACO	Pathway
LOCMI05195	Ea	Purine metabolism:map00230
LOCMI05408	Ea	Purine metabolism:map00230
LOCMI05424	Ea	Purine metabolism:map00230
LOCMI05478	Ea	Purine metabolism:map00230
LOCMI05553	Ea	Purine metabolism:map00230
LOCMI05695	Ea	Purine metabolism:map00230
LOCMI05728	Ea	Purine metabolism:map00230
LOCMI05744	Ea	Purine metabolism:map00230
LOCMI05985	Ea	Purine metabolism:map00230
LOCMI06149	Ea	Purine metabolism:map00230
LOCMI06409	Ea	Purine metabolism:map00230
LOCMI06919	Ea	Purine metabolism:map00230
LOCMI06930	Ea	Purine metabolism:map00230
LOCMI07029	Ea	Purine metabolism:map00230
LOCMI07085	Ea	Purine metabolism:map00230
LOCMI07493	Ea	Purine metabolism:map00230
LOCMI07686	Ea	Purine metabolism:map00230
LOCMI07847	Ea	Purine metabolism:map00230
LOCMI07858	Ea	Purine metabolism:map00230
LOCMI07879	Ea	Purine metabolism:map00230
LOCMI08111	Ea	Purine metabolism:map00230
LOCMI08182	Ea	Purine metabolism:map00230
LOCMI08183	Ea	Purine metabolism:map00230
LOCMI08192	Ea	Purine metabolism:map00230
LOCMI08295	Ea	Purine metabolism:map00230
LOCMI08300	Ea	Purine metabolism:map00230
LOCMI08328	Ea	Purine metabolism:map00230
LOCMI08603	Ea	Purine metabolism:map00230
LOCMI08630	Ea	Purine metabolism:map00230
LOCMI08702	Ea	Purine metabolism:map00230
LOCMI08826	Ea	Purine metabolism:map00230
LOCMI09089	Ea	Purine metabolism:map00230
LOCMI09110	Ea	Purine metabolism:map00230
LOCMI09182	Ea	Purine metabolism:map00230
